resident,invader,initial_fraction,final_fraction,generations_run,fixated,invader_won,seed
Always Cooperate,Always Defect,0.35,1.0,2,True,True,81916
Always Cooperate,Always Defect,0.35,1.0,2,True,True,82017
Always Cooperate,Always Defect,0.35,0.9912109375,30,False,True,82118
Always Cooperate,Always Defect,0.35,1.0,2,True,True,82219
Always Cooperate,Always Defect,0.35,1.0,2,True,True,82320
Always Cooperate,Always Defect,0.35,1.0,2,True,True,82421
Always Cooperate,Always Defect,0.35,1.0,2,True,True,82522
Always Cooperate,Always Defect,0.35,1.0,2,True,True,82623
Always Cooperate,Always Defect,0.35,1.0,2,True,True,82724
Always Cooperate,Always Defect,0.35,1.0,2,True,True,82825
Always Cooperate,Always Defect,0.35,1.0,2,True,True,82926
Always Cooperate,Always Defect,0.35,1.0,2,True,True,83027
Always Cooperate,Always Defect,0.4,1.0,2,True,True,90105
Always Cooperate,Always Defect,0.4,1.0,2,True,True,90206
Always Cooperate,Always Defect,0.4,1.0,2,True,True,90307
Always Cooperate,Always Defect,0.4,1.0,2,True,True,90408
Always Cooperate,Always Defect,0.4,1.0,2,True,True,90509
Always Cooperate,Always Defect,0.4,0.98828125,30,False,True,90610
Always Cooperate,Always Defect,0.4,1.0,2,True,True,90711
Always Cooperate,Always Defect,0.4,1.0,2,True,True,90812
Always Cooperate,Always Defect,0.4,1.0,2,True,True,90913
Always Cooperate,Always Defect,0.4,1.0,2,True,True,91014
Always Cooperate,Always Defect,0.4,1.0,2,True,True,91115
Always Cooperate,Always Defect,0.4,1.0,2,True,True,91216
Always Cooperate,Always Defect,0.4,1.0,2,True,True,91317
Always Cooperate,Always Defect,0.4,1.0,2,True,True,91418
Always Cooperate,Always Defect,0.4,1.0,2,True,True,91519
Always Cooperate,Always Defect,0.4,1.0,2,True,True,91620
Always Cooperate,Always Defect,0.4,1.0,2,True,True,91721
Always Cooperate,Always Defect,0.4,1.0,2,True,True,91822
Always Cooperate,Always Defect,0.4,1.0,2,True,True,91923
Always Cooperate,Always Defect,0.4,1.0,2,True,True,92024
Always Cooperate,Always Defect,0.4,1.0,2,True,True,92125
Always Cooperate,Always Defect,0.4,1.0,2,True,True,92226
Always Cooperate,Always Defect,0.4,1.0,2,True,True,92327
Always Cooperate,Always Defect,0.4,1.0,2,True,True,92428
Always Cooperate,Always Defect,0.4,1.0,2,True,True,92529
Always Cooperate,Always Defect,0.4,1.0,2,True,True,92630
Always Cooperate,Always Defect,0.4,1.0,2,True,True,92731
