player_id,strategy,n_matches,total_payoff,avg_payoff_per_match,avg_payoff_per_round
232,Random(p=0.2),999,12472,12.484484484484485,2.4968968968968968
233,Random(p=0.2),999,12423,12.435435435435435,2.487087087087087
234,Random(p=0.2),999,12443,12.455455455455455,2.491091091091091
235,Random(p=0.2),999,12489,12.501501501501501,2.5003003003003004
236,Random(p=0.2),999,12415,12.427427427427427,2.4854854854854853
237,Random(p=0.2),999,12459,12.471471471471471,2.4942942942942943
238,Random(p=0.2),999,12403,12.415415415415415,2.4830830830830832
239,Random(p=0.2),999,12375,12.387387387387387,2.4774774774774775
240,Random(p=0.2),999,12573,12.585585585585585,2.517117117117117
241,Random(p=0.2),999,12495,12.507507507507508,2.501501501501502
242,Random(p=0.2),999,12507,12.51951951951952,2.503903903903904
243,Random(p=0.2),999,12418,12.43043043043043,2.486086086086086
244,Random(p=0.2),999,12445,12.457457457457457,2.4914914914914914
245,Random(p=0.2),999,12331,12.343343343343344,2.468668668668669
246,Random(p=0.2),999,12311,12.323323323323324,2.4646646646646646
247,Random(p=0.2),999,12509,12.521521521521521,2.5043043043043043
248,Random(p=0.2),999,12392,12.404404404404405,2.480880880880881
249,Random(p=0.2),999,12431,12.443443443443444,2.488688688688689
250,Random(p=0.2),999,12295,12.307307307307306,2.4614614614614614
251,Random(p=0.2),999,12388,12.4004004004004,2.48008008008008
252,Random(p=0.2),999,12282,12.294294294294295,2.458858858858859
253,Random(p=0.2),999,12517,12.52952952952953,2.505905905905906
254,Random(p=0.2),999,12546,12.558558558558559,2.511711711711712
255,Random(p=0.2),999,12407,12.41941941941942,2.483883883883884
256,Random(p=0.2),999,12366,12.378378378378379,2.4756756756756757
257,Random(p=0.2),999,12459,12.471471471471471,2.4942942942942943
258,Random(p=0.2),999,12548,12.56056056056056,2.512112112112112
259,Random(p=0.2),999,12552,12.564564564564565,2.512912912912913
260,Random(p=0.2),999,12390,12.402402402402402,2.4804804804804803
261,Random(p=0.2),999,12450,12.462462462462462,2.4924924924924925
262,Random(p=0.2),999,12199,12.21121121121121,2.442242242242242
263,Random(p=0.2),999,12390,12.402402402402402,2.4804804804804803
264,Random(p=0.2),999,12483,12.495495495495495,2.499099099099099
265,Random(p=0.2),999,12381,12.393393393393394,2.478678678678679
266,Random(p=0.2),999,12374,12.386386386386386,2.477277277277277
267,Random(p=0.2),999,12333,12.345345345345345,2.469069069069069
268,Random(p=0.2),999,12493,12.505505505505505,2.501101101101101
269,Random(p=0.2),999,12431,12.443443443443444,2.488688688688689
270,Random(p=0.2),999,12503,12.515515515515515,2.5031031031031032
271,Random(p=0.2),999,12354,12.366366366366366,2.473273273273273
272,Random(p=0.2),999,12390,12.402402402402402,2.4804804804804803
